epoch,train_loss,val_loss,secs
1,6.504861985140103,5.294583821651295,1713.2385971546173
2,5.439555859383071,5.07421302628538,1711.1005256175995
3,5.343880001705752,4.96588802921699,1755.9189944267273
4,5.293193959728059,4.932415595100516,1727.421499967575
5,5.2662730614390645,4.931306261611631,1730.1236734390259
6,5.212775929242214,4.892611877811863,1743.7865130901337
7,5.166209834823576,4.838952056170553,1735.2663390636444
8,5.076976167433822,4.739239605914472,1752.1371994018555
9,4.984885955688598,4.685770141588213,2268.658621788025
10,4.894878134577081,4.629589738286803,2220.3425347805023
11,4.7989024768811985,4.580503254737754,1769.8064737319946
12,4.7218681213499964,4.547628935032108,1729.1185193061829
13,4.657679220715199,4.528112766102335,1742.1750741004944
14,4.6141127472612204,4.5218334711129895,1728.0887908935547
15,4.591805045229085,4.520729268108244,1753.6649103164673
